id,name,category,url,status
forest_bath_v3,Forest Bathing Experience,Wellness_Lifestyle,https://ian-simpletix.github.io/new_eventpage_templates/Claude Adjusted/new_designs_v3/forest_bath_v3.html,
artisan_market_v3,Artisan Market,Community_Family,https://ian-simpletix.github.io/new_eventpage_templates/Claude Adjusted/new_designs_v3/artisan_market_v3.html,
wine_dine_v3,Harvest Table Dinner,Premium_Luxury,https://ian-simpletix.github.io/new_eventpage_templates/Claude Adjusted/new_designs_v3/wine_dine_v3.html,
moving_bodies_v3,Saturday Morning Run,Wellness_Lifestyle,https://ian-simpletix.github.io/new_eventpage_templates/Claude Adjusted/new_designs_v3/moving_bodies_v3.html,
story_circle_v3,An Evening with Carmen Torres,Education_Academic,https://ian-simpletix.github.io/new_eventpage_templates/Claude Adjusted/new_designs_v3/story_circle_v3.html,
common_ground_v3,Common Ground Gala,Community_Family,https://ian-simpletix.github.io/new_eventpage_templates/Claude Adjusted/new_designs_v3/common_ground_v3.html,
heritage_celebration_v3,Lunar New Year Festival,Special_Occasions,https://ian-simpletix.github.io/new_eventpage_templates/Claude Adjusted/new_designs_v3/heritage_celebration_v3.html,
rooftop_social_v3,Rooftop Mixer,Corporate_Professional,https://ian-simpletix.github.io/new_eventpage_templates/Claude Adjusted/new_designs_v3/rooftop_social_v3.html,
garden_party_v3,Garden Party at Sunset,Premium_Luxury,https://ian-simpletix.github.io/new_eventpage_templates/Claude Adjusted/new_designs_v3/garden_party_v3.html,
maker_workshop_v3,Intro to Woodworking,Education_Academic,https://ian-simpletix.github.io/new_eventpage_templates/Claude Adjusted/new_designs_v3/maker_workshop_v3.html,
